HSMID	X	Y	OBLIKA IJS	TIP PRIKLJUČKA	ID VS	UPRAVLJANJE
11619207	171150	574579	JAV	1	1633	1
11619215	171190	574551	NEZ		99	0
11619223	171153	574553	JAV	1	1633	1
11619231	171176	574525	JAV	1	1633	1
11619240	171144	574502	JAV	1	1633	1
11619258	171127	574483	NEZ		99	0
11619266	171141	574441	JAV	1	1633	1
11619274	171107	574406	JAV	1	1633	1
11619282	171033	574313	JAV	1	1633	1
19131742	171010	574276	JAV	1	1633	1
19124827	170976	574228	JAV	1	1633	1
11619037	171325	574877	JAV	3	1633	1
11619304	170802	573799	JAV	1	1633	1
11619312	170878	573768	JAV	1	1633	1
11619339	171237	574528	JAV	1	1633	1
11619347	171264	574607	JAV	1	1633	1
11619355	171286	574524	JAV	1	1633	1
11619363	171262	574515	JAV	1	1633	1
19139026	171306	574486	JAV	1	1633	1
11619371	171353	574283	JAV	1	1633	1
11619380	171149	574289	NEZ		99	0
11619398	171360	574210	JAV	1	1633	1
19136370	171378	574216	JAV	1	1633	1
11619045	171269	574881	JAV	4	1633	0
11619401	171356	574185	DRUG	1	99	0
11619410	171392	574158	DRUG	1	99	0
11619428	171255	573980	DRUG	1	99	0
11619436	171292	573933	DRUG	1	99	0
11619444	171248	573890	DRUG	1	99	0
11619452	171223	573729	JAV	1	1633	1
11619479	171294	573711	JAV	1	1633	1
16343854	171306	573691	JAV	3	1633	1
11619487	171211	573670	DRUG	1	99	0
19129748	171223	573685	JAV	3	1633	1
11619495	171214	573654	JAV	1	1633	1
11619509	171194	573648	JAV	1	1633	1
11619053	171321	574822	JAV	1	1633	1
11619517	171233	573617	JAV	1	1633	1
11619525	171261	573646	JAV	1	1633	1
19136094	171272	573649	NEZ		99	0
11619533	171255	573582	JAV	1	1633	1
11619541	171258	573573	JAV	1	1633	1
11619550	171314	573576	JAV	1	1633	1
11619568	171399	573465	JAV	1	1633	1
11619576	171288	573411	JAV	1	1633	1
11619584	171273	573394	JAV	1	1633	1
11619592	171253	573367	JAV	1	1633	1
11619606	171145	573205	NEZ		99	0
11619061	171295	574826	JAV	1	1633	1
19138712	171335	573437	JAV	1	1633	1
11619070	171294	574818	NEZ		99	0
11619088	171318	574782	NEZ		99	0
11619096	171290	574794	DRUG	1	99	0
11590047	170882	576067	NEZ		99	0
11590101	170782	576044	NEZ		99	0
11590110	170708	575916	JAV	1	1633	1
11590055	170924	576050	NEZ		99	0
11590063	170789	576088	JAV	1	1633	1
11590071	170885	576045	JAV	1	1633	1
11590080	170663	575935	JAV	1	1633	1
11590098	170837	576056	JAV	1	1633	1
11619851	169629	575372	JAV	1	1633	1
11619959	169407	574768	NEZ		99	0
11620949	169171	573637	DRUG	1	99	0
19126374	169143	573571	DRUG	1	99	0
11620957	169133	573439	JAV	1	1633	1
11620965	169097	573437	JAV	1	1633	1
11620973	169031	573376	DRUG	1	99	0
11620981	169028	573340	NEZ		99	0
19135802	169023	573351	JAV	1	1633	1
11620990	169153	574618	DRUG	1	99	0
11621015	169121	574319	JAV	1	1633	1
11621023	168952	574483	JAV	1	1633	1
19138925	169069	574261	JAV	1	1633	1
11621031	168898	574295	DRUG	1	99	0
11619967	169522	574686	JAV	1	1633	1
11621040	168903	574272	NEZ		99	0
11621058	169020	574144	DRUG	1	99	0
11621066	169030	574118	NEZ		99	0
11621074	168914	574067	NEZ		99	0
11621082	168897	574057	JAV	1	1633	1
11621104	168752	573914	JAV	1	1633	1
11621139	168621	574065	NEZ		99	0
11621147	168780	573869	JAV	1	1633	1
11621155	169024	573711	DRUG	1	99	0
11619975	169545	574617	JAV	1	1633	1
11621163	168926	573739	JAV	1	1633	1
11621171	168782	573624	JAV	1	1633	1
11621180	168737	573582	JAV	1	1633	1
11621198	168719	573502	JAV	1	1633	1
19131521	168723	573468	JAV	1	1633	1
11621201	168696	573495	JAV	1	1633	1
11621210	168516	573811	JAV	1	1633	1
11621228	168505	573658	JAV	1	1633	1
19126056	168513	573427	JAV	1	1633	1
11621236	168489	573404	JAV	1	1633	1
11621244	168446	573378	JAV	1	1633	1
11621252	168360	573563	JAV	1	1633	1
19138801	168347	573556	JAV	1	1633	1
11619983	169584	574573	DRUG	1	99	0
11621279	168406	573357	JAV	1	1633	1
11621287	168379	573363	JAV	1	1633	1
11621295	168134	573363	JAV	1	1633	1
16551333	168158	573374	JAV	1	1633	1
11621309	168015	573364	DRUG	1	99	0
11621317	167941	573250	JAV	1	1633	1
11621325	167903	573234	JAV	1	1633	1
11621333	167887	573221	JAV	1	1633	1
11621341	167758	573196	JAV	1	1633	1
11621350	167549	573146	DRUG	1	99	0
11621368	167526	573140	NEZ		99	0
11619991	169613	574571	NEZ		99	0
11621376	167423	573102	JAV	1	1633	1
11621384	167398	573054	JAV	1	1633	1
11620019	169660	574572	DRUG	1	99	0
11620027	169679	574455	DRUG	1	99	0
16400645	169670	574424	JAV	1	1633	1
19128601	169670	574470	JAV	1	1633	1
11620035	169610	574463	DRUG	3	99	0
11620043	169523	574459	JAV	1	1633	1
11620051	170089	575141	DRUG	1	99	0
11619860	169584	575120	DRUG	1	99	0
11620060	169918	575160	DRUG	1	99	0
11620078	170034	575054	JAV	1	1633	1
19135276	170033	575021	JAV	1	1633	1
19138992	170030	575005	NEZ		99	0
11620086	170017	575000	JAV	1	1633	1
11620094	170014	574869	JAV	1	1633	1
11620108	170223	574663	JAV	1	1633	1
11620116	169995	574684	JAV	1	1633	1
11620124	170021	574626	JAV	1	1633	1
11620132	170038	574612	NEZ		99	0
11620159	170098	574594	JAV	1	1633	1
19132358	170323	574474	JAV	1	1633	1
11619878	169583	575096	NEZ		99	0
11620175	170261	574451	JAV	1	1633	1
11620183	170218	574347	DRUG	1	99	0
