FID;ENOTA;HS_MID;HS;HD;LABELA;UL_MID;NA_MID;OB_MID;PT_MID;PO_MID;D_OD;DV_OD;STATUS;Y_C;X_C
1821;HS;11588808;2; ;2;16184837;10092752;11026826;21429392;10253128;01.01.1995;01.01.1995;V;575965;171103
1822;HS;11588816;3; ;3;16184837;10092752;11026826;21429392;10253128;01.01.1995;01.01.1995;V;575952;171134
1823;HS;11588824;4; ;4;16184837;10092752;11026826;21429392;10253128;01.01.1995;01.01.1995;V;575971;171187
1824;HS;11588832;5; ;5;16184837;10092752;11026826;21429392;10253268;01.01.1995;01.01.1995;V;576026;171177
1825;HS;11588859;6; ;6;16184837;10092752;11026826;21429392;10253268;01.01.1995;01.01.1995;V;576037;171215
1826;HS;11588875;9; ;9;16184837;10092752;11026826;21429392;10253268;01.01.1995;01.01.1995;V;576125;171145
1827;HS;11588883;11; ;11;16184837;10092752;11026826;21429392;10253268;01.01.1995;01.01.1995;V;576061;171146
1828;HS;11588891;12; ;12;16184837;10092752;11026826;21429392;10253268;01.01.1995;01.01.1995;V;576061;171119
1829;HS;11592554;1; ;1;16185108;10092752;11026826;21429392;10253071;01.01.1995;01.01.1995;V;576276;169883
1830;HS;11592562;2; ;2;16185108;10092752;11026826;21429392;10253071;01.01.1995;01.01.1995;V;576252;169919
1831;HS;11592589;4; ;4;16185108;10092752;11026826;21429392;10253071;01.01.1995;01.01.1995;V;576247;169891
1832;HS;11592597;6; ;6;16185108;10092752;11026826;21429392;10253071;01.01.1995;01.01.1995;V;576245;169865
1833;HS;11588905;2; ;2;16184845;10092752;11026826;21429392;10253098;01.01.1995;01.01.1995;V;576421;170226
1834;HS;11588913;4; ;4;16184845;10092752;11026826;21429392;10253098;01.01.1995;01.01.1995;V;576414;170194
1835;HS;11588921;6; ;6;16184845;10092752;11026826;21429392;10253098;01.01.1995;01.01.1995;V;576394;170159
1836;HS;11588930;8; ;8;16184845;10092752;11026826;21429392;10253098;01.01.1995;01.01.1995;V;576390;170098
1837;HS;11588964;14; ;14;16184845;10092752;11026826;21429392;10253101;01.01.1995;01.01.1995;V;576306;169800
1838;HS;11588972;15; ;15;16184845;10092752;11026826;21429392;10253098;01.01.1995;01.01.1995;V;576368;169860
1839;HS;11588999;16; ;16;16184845;10092752;11026826;21429392;10253101;01.01.1995;01.01.1995;V;576299;169771
1840;HS;11589006;17; ;17;16184845;10092752;11026826;21429392;10253098;01.01.1995;01.01.1995;V;576365;169812
1841;HS;11592619;1; ;1;16185116;10092752;11026826;21429392;10257204;01.01.1995;01.01.1995;V;576584;170130
1842;HS;11592627;2; ;2;16185116;10092752;11026826;21429392;10257204;01.01.1995;01.01.1995;V;576601;170107
1843;HS;11592635;3; ;3;16185116;10092752;11026826;21429392;10257204;01.01.1995;01.01.1995;V;576605;170160
1844;HS;11611982;1; ;1;16276006;10093147;11026826;21432237;10255201;01.01.1995;01.01.1995;V;573470;162561
1845;HS;11612008;2; ;2;16276006;10093147;11026826;21432237;10255201;01.01.1995;01.01.1995;V;573399;162591
1846;HS;11612016;3; ;3;16276006;10093147;11026826;21432237;10255201;01.01.1995;01.01.1995;V;573061;162562
1847;HS;11612032;6; ;6;16276006;10093147;11026826;21432237;10255201;01.01.1995;01.01.1995;V;572375;163106
1848;HS;11612059;7; ;7;16276006;10093147;11026826;21432237;10255201;01.01.1995;01.01.1995;V;572220;163086
1849;HS;11612067;8; ;8;16276006;10093147;11026826;21432237;10255201;01.01.1995;01.01.1995;V;572318;163169
1850;HS;11612075;10; ;10;16276006;10093147;11026826;21432237;10255201;01.01.1995;01.01.1995;V;572244;163170
1851;HS;11592643;4; ;4;16185116;10092752;11026826;21429392;10257204;01.01.1995;01.01.1995;V;576620;170136
1852;HS;11592660;6; ;6;16185116;10092752;11026826;21429392;10257204;01.01.1995;01.01.1995;V;576638;170149
1853;HS;11592678;1; ;1;16185124;10092752;11026826;21429392;10252768;01.01.1995;01.01.1995;V;576347;170946
1854;HS;11604056;1; ;1;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;571933;161622
1855;HS;11604072;3; ;3;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;572129;161898
1856;HS;11604129;6; ;6;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;572722;161656
1857;HS;11604137;7; ;7;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;572513;161432
1858;HS;11604153;9; ;9;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;572584;161485
1859;HS;11604161;10; ;10;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;572689;161524
1860;HS;11604170;11; ;11;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;572761;161544
1861;HS;11604188;12; ;12;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;572843;161435
1862;HS;11604196;13; ;13;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;572789;161369
1863;HS;11604218;15; ;15;16275832;10092973;11026826;21432237;10255279;01.01.1995;01.01.1995;V;572795;161101
