FID;ENOTA;PT_MID;PT_ID;PT_UIME;POV_KM2;D_OD;DV_OD;STATUS;Y_C;X_C
440;PT;21433462;4247;Zgornje Gorje;128,8099976;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;429130;137520
441;PT;21433489;4206;Zgornje Jezersko;68,7300034;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;461660;139120
442;PT;21433519;2285;Zgornji Leskovec;30,1100006;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;575255;130135
443;PT;21433527;1432;Zidani Most;15,0500002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;515388;104250
444;PT;21433535;3214;Zreae;52,9199982;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;532212;134896
445;PT;21433551;4209;Pabnica;21,7999992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;448390;117830
446;PT;21433560;3310;Palec;45,2900009;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;513010;123000
447;PT;21433586;4228;Pelezniki;111,7300034;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;435502;119688
448;PT;21433594;2287;Petale;38,0000000;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;561770;126110
449;PT;21433608;4226;Piri;44,1300011;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;436185;100222
450;PT;21433616;4274;Pirovnica;45,4700012;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;432570;141800
451;PT;21433624;8360;Pu;60,1300011;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;494870;80770
452;PT;21430056;8311;Kostanjevica na Krki;58,3300018;23. 05. 2005 00:00:00;24. 05. 2005 00:00:00;V;534470;79180
453;PT;21429716;6310;Izola - Isola;28,3400002;30. 01. 2007 00:00:00;31. 01. 2007 00:00:00;V;395860;44600
454;PT;21431966;6333;Se;28,5699997;14. 12. 2007 00:00:00;14. 12. 2007 00:00:00;V;393650;38950
455;PT;21433071;1336;Kostel;56,1100006;13. 03. 2008 00:00:00;13. 03. 2008 00:00:00;V;491180;36980
456;PT;21433152;1312;Videm - Dobrepolje;63,1699982;10. 10. 2008 00:00:00;10. 10. 2008 00:00:00;V;476640;78290
457;PT;21432466;2235;Sv. Trojica v Slov. goricah;25,8799992;7. 11. 2008 00:00:00;7. 11. 2008 00:00:00;V;569800;160380
458;PT;21429562;9205;HodoT - Hodos;18,1000004;25. 11. 2010 00:00:00;25. 11. 2010 00:00:00;V;601530;187280
459;PT;21431648;9207;Prosenjakovci - Pvrtosfalva;43,3199997;25. 11. 2010 00:00:00;25. 11. 2010 00:00:00;V;598890;176910
460;PT;21430307;9220;Lendava - Lendva;102,7399979;25. 11. 2010 00:00:00;25. 11. 2010 00:00:00;V;611670;158700
461;PT;21429074;9223;Dobrovnik - Dobronak;48,1899986;25. 11. 2010 00:00:00;25. 11. 2010 00:00:00;V;608070;164950
462;PT;21431583;1276;Primskovo;13,8599997;6. 03. 2012 00:00:00;6. 03. 2012 00:00:00;V;492470;96030
463;PT;21431001;3203;Nova Cerkev;23,4400005;28. 03. 2012 00:00:00;28. 03. 2012 00:00:00;V;522410;129940
464;PT;21429406;3342;Gornji Grad;89,1800003;23. 09. 2014 00:00:00;23. 09. 2014 00:00:00;V;485360;128020
465;PT;21432075;2214;Sladki Vrh;7,0599999;25. 11. 2016 00:00:00;25. 11. 2016 00:00:00;V;555110;172670
